id,adsorbate,bulk_formula,adsorption_energy,bulk_id,temperature_k,ph
ocp-000071,N,ZnO,1.6441,Zn,372,11.1
ocp-000072,N,TiO2,1.7898,Ti,1313,10.6
ocp-000073,N,CeO2,-0.1516,Ce,593,9.1
ocp-000074,N,Rh,1.3104,Rh,899,9.7
ocp-000075,N2,Fe2O3,1.696,Fe,360,9.6
ocp-000076,N2,NiO,0.2533,Ni,436,6.6
ocp-000077,N2,CuO,2.3437,Cu,835,7.4
ocp-000078,N2,Co3O4,-1.7418,Co,489,10.3
ocp-000079,N2,Pt,-1.6608,Pt,1129,10.4
ocp-000080,N2,Pd,-1.968,Pd,512,10.2
ocp-000081,N2,RuO2,0.9337,Ru,533,7.3
ocp-000082,N2,Mo2C,-1.9782,Mo,406,13.7
ocp-000083,N2,WC,0.4714,W,551,5.5
ocp-000084,N2,V2O5,1.5012,V,1151,11.1
ocp-000085,N2,MnO2,1.0985,Mn,331,11.8
ocp-000086,N2,ZnO,-2.3649,Zn,315,12.1
ocp-000087,N2,TiO2,2.0798,Ti,601,2.6
ocp-000088,N2,CeO2,1.2679,Ce,747,4.3
ocp-000089,N2,Rh,-2.4828,Rh,538,11.8
ocp-000090,NH3,Fe2O3,1.6122,Fe,846,11.1
ocp-000091,NH3,NiO,2.0216,Ni,836,3.6
ocp-000092,NH3,CuO,-1.1682,Cu,630,6.7
ocp-000093,NH3,Co3O4,2.3948,Co,699,3.1
ocp-000094,NH3,Pt,-1.2834,Pt,605,11.0
ocp-000095,NH3,Pd,-2.3068,Pd,881,12.0
ocp-000096,NH3,RuO2,0.0191,Ru,1004,8.8
ocp-000097,NH3,Mo2C,1.1226,Mo,502,11.3
ocp-000098,NH3,WC,-1.9097,W,1298,4.3
ocp-000099,NH3,V2O5,-1.6967,V,1415,5.2
ocp-000100,NH3,MnO2,-1.2999,Mn,1069,9.0
ocp-000101,NH3,ZnO,-0.9176,Zn,782,5.1
ocp-000102,NH3,TiO2,-1.6075,Ti,1478,11.0
ocp-000103,NH3,CeO2,-2.2614,Ce,458,5.7
ocp-000104,NH3,Rh,1.2197,Rh,675,5.7
ocp-000105,O,Fe2O3,-2.0726,Fe,485,8.0
ocp-000106,O,NiO,-0.706,Ni,496,8.6
ocp-000107,O,CuO,-1.5401,Cu,1147,6.3
ocp-000108,O,Co3O4,-0.3417,Co,452,7.6
ocp-000109,O,Pt,-0.7527,Pt,1414,7.5
ocp-000110,O,Pd,1.7252,Pd,486,10.6
ocp-000111,O,RuO2,-2.2101,Ru,1102,9.7
ocp-000112,O,Mo2C,-2.3341,Mo,1065,10.5
ocp-000113,O,WC,1.4764,W,894,8.3
ocp-000114,O,V2O5,0.1057,V,502,11.4
ocp-000115,O,MnO2,0.4275,Mn,871,10.5
ocp-000116,O,ZnO,-0.3872,Zn,795,12.0
ocp-000117,O,TiO2,2.3457,Ti,1472,7.1
ocp-000118,O,CeO2,-1.6895,Ce,1319,9.2
ocp-000119,O,Rh,-0.3809,Rh,928,3.5
ocp-000120,OH,Fe2O3,-1.189,Fe,462,6.3
ocp-000121,OH,NiO,1.373,Ni,872,7.4
ocp-000122,OH,CuO,1.0463,Cu,1158,6.4
ocp-000123,OH,Co3O4,-0.7737,Co,1146,9.7
ocp-000124,OH,Pt,1.8775,Pt,1184,10.2
ocp-000125,OH,Pd,-0.2233,Pd,340,4.9
ocp-000126,OH,RuO2,0.6683,Ru,1063,3.2
ocp-000127,OH,Mo2C,-1.236,Mo,685,3.3
ocp-000128,OH,WC,-1.0248,W,798,5.5
ocp-000129,OH,V2O5,-1.1309,V,618,8.3
ocp-000130,OH,MnO2,0.6468,Mn,814,7.8
ocp-000131,OH,ZnO,1.989,Zn,309,11.1
ocp-000132,OH,TiO2,0.2053,Ti,609,10.2
ocp-000133,OH,CeO2,-0.23,Ce,1021,9.9
ocp-000134,OH,Rh,1.0011,Rh,822,4.0
ocp-000135,CH4,Fe2O3,-1.4142,Fe,1428,10.2
ocp-000136,CH4,NiO,1.3447,Ni,870,10.7
ocp-000137,CH4,CuO,0.1902,Cu,348,4.3
ocp-000138,CH4,Co3O4,-1.6804,Co,1190,9.1
ocp-000139,CH4,Pt,0.5048,Pt,1192,6.4
ocp-000140,CH4,Pd,-0.9553,Pd,560,8.8
ocp-000141,CH4,RuO2,-2.4051,Ru,478,9.9
ocp-000142,CH4,Mo2C,-0.8751,Mo,1102,4.0
ocp-000143,CH4,WC,-2.1569,W,565,4.4
ocp-000144,CH4,V2O5,-0.9144,V,1252,3.0
ocp-000145,CH4,MnO2,-0.6794,Mn,741,10.1
ocp-000146,CH4,ZnO,-0.7847,Zn,326,9.3
ocp-000147,CH4,TiO2,-0.9668,Ti,1185,12.4
ocp-000148,CH4,CeO2,-2.1138,Ce,1463,5.1
ocp-000149,CH4,Rh,1.8156,Rh,1165,12.3
ocp-000150,methanol,Fe2O3,2.4058,Fe,1386,8.4
ocp-000151,methanol,NiO,2.3298,Ni,1428,7.7
ocp-000152,methanol,CuO,-2.2131,Cu,902,6.9
ocp-000153,methanol,Co3O4,-0.6643,Co,875,5.3
ocp-000154,methanol,Pt,-1.149,Pt,962,7.4
ocp-000155,methanol,Pd,0.6631,Pd,1084,8.4
ocp-000156,methanol,RuO2,0.9013,Ru,849,8.7
ocp-000157,methanol,Mo2C,-2.4784,Mo,1029,10.9
ocp-000158,methanol,WC,-1.2075,W,1276,12.5
ocp-000159,methanol,V2O5,0.9158,V,808,11.5
ocp-000160,methanol,MnO2,-1.8853,Mn,385,10.6
ocp-000161,methanol,ZnO,-0.1739,Zn,428,8.8
ocp-000162,methanol,TiO2,0.1973,Ti,771,10.4
ocp-000163,methanol,CeO2,2.3083,Ce,437,12.8
ocp-000164,methanol,Rh,1.2545,Rh,1074,7.9
ocp-000165,glucose,Fe2O3,-1.9417,Fe,1163,7.4
ocp-000166,glucose,NiO,-1.0294,Ni,973,4.2
ocp-000167,glucose,CuO,0.1123,Cu,808,9.5
ocp-000168,glucose,Co3O4,1.529,Co,1346,13.6
ocp-000169,glucose,Pt,1.0352,Pt,468,9.1
ocp-000170,glucose,Pd,-0.304,Pd,1213,4.3
ocp-000171,glucose,RuO2,-2.3323,Ru,334,9.3
ocp-000172,glucose,Mo2C,-0.2496,Mo,353,12.2
ocp-000173,glucose,WC,1.5634,W,422,13.4
ocp-000174,glucose,V2O5,2.1477,V,1454,8.7
ocp-000175,glucose,MnO2,1.1296,Mn,1093,13.1
ocp-000176,glucose,ZnO,-2.4721,Zn,658,3.8
ocp-000177,glucose,TiO2,-2.4469,Ti,1071,13.4
ocp-000178,glucose,CeO2,0.8243,Ce,933,3.0
ocp-000179,glucose,Rh,-1.1325,Rh,484,7.9
ocp-000180,NH2,Fe2O3,2.2877,Fe,1445,2.3
ocp-000181,NH2,NiO,-1.8665,Ni,1426,8.5
ocp-000182,NH2,CuO,1.4043,Cu,560,13.0
ocp-000183,NH2,Co3O4,-1.9493,Co,1446,4.2
ocp-000184,NH2,Pt,-0.0349,Pt,1049,3.0
ocp-000185,NH2,Pd,0.4516,Pd,530,3.3
ocp-000186,NH2,RuO2,0.8377,Ru,940,10.6
ocp-000187,NH2,Mo2C,0.4408,Mo,365,4.1
ocp-000188,NH2,WC,-0.2021,W,1258,2.5
ocp-000189,NH2,V2O5,-2.0928,V,1071,2.8
ocp-000190,NH2,MnO2,2.1894,Mn,1063,9.9
ocp-000191,NH2,ZnO,1.0223,Zn,998,8.6
ocp-000192,NH2,TiO2,-1.0309,Ti,869,13.8
ocp-000193,NH2,CeO2,-2.4064,Ce,963,7.0
ocp-000194,NH2,Rh,-1.8751,Rh,565,10.9
ocp-000195,NO,Fe2O3,-1.5288,Fe,1313,9.5
ocp-000196,NO,NiO,-0.659,Ni,1202,3.9
ocp-000197,NO,CuO,-0.1737,Cu,616,7.8
ocp-000198,NO,Co3O4,-1.7891,Co,1182,11.8
ocp-000199,NO,Pt,-2.0185,Pt,470,13.4
ocp-000200,NO,Pd,1.7109,Pd,480,4.7
ocp-000201,NO,RuO2,-0.9801,Ru,557,12.2
ocp-000202,NO,Mo2C,-2.3188,Mo,1392,3.7
ocp-000203,NO,WC,2.4976,W,1393,9.5
ocp-000204,NO,V2O5,-2.4034,V,1138,12.4
ocp-000205,NO,MnO2,-1.5693,Mn,497,9.3
ocp-000206,NO,ZnO,1.998,Zn,1422,11.8
ocp-000207,NO,TiO2,-1.159,Ti,1300,10.8
ocp-000208,NO,CeO2,-1.0644,Ce,597,6.6
ocp-000209,NO,Rh,-2.3105,Rh,678,9.8
ocp-000210,H2O,Fe2O3,1.1329,Fe,328,3.5
ocp-000211,H2O,NiO,0.9718,Ni,522,12.2
ocp-000212,H2O,CuO,-1.0039,Cu,640,9.0
ocp-000213,H2O,Co3O4,-1.9983,Co,804,5.7
ocp-000214,H2O,Pt,1.1672,Pt,812,11.4
ocp-000215,H2O,Pd,0.1976,Pd,304,3.5
ocp-000216,H2O,RuO2,1.5571,Ru,1406,5.5
ocp-000217,H2O,Mo2C,-0.2807,Mo,717,2.2
ocp-000218,H2O,WC,1.3039,W,961,7.1
ocp-000219,H2O,V2O5,-2.3044,V,754,9.9
ocp-000220,H2O,MnO2,-2.1726,Mn,1127,10.7
ocp-000221,H2O,ZnO,-1.8001,Zn,1368,13.8
ocp-000222,H2O,TiO2,0.2566,Ti,1310,6.7
ocp-000223,H2O,CeO2,0.4989,Ce,696,8.8
ocp-000224,H2O,Rh,-1.7124,Rh,1438,9.3
